model,fold,model__n_neighbors,select__score_func,model__C,model__kernel,model__activation,model__hidden_layer_sizes,model__learning_rate,model__max_depth,model__n_estimators
KNN,1,11.0,f_classif,,,,,,,
KNN,2,11.0,f_classif,,,,,,,
KNN,3,11.0,f_classif,,,,,,,
KNN,4,11.0,f_classif,,,,,,,
KNN,5,11.0,f_classif,,,,,,,
SVM,1,,f_classif,1.0,rbf,,,,,
SVM,2,,f_classif,1.0,rbf,,,,,
SVM,3,,f_classif,1.0,rbf,,,,,
SVM,4,,f_classif,10.0,rbf,,,,,
SVM,5,,f_classif,1.0,rbf,,,,,
MLP,1,,f_classif,,,relu,"(100,)",,,
MLP,2,,f_classif,,,relu,"(100,)",,,
MLP,3,,f_classif,,,relu,"(100,)",,,
MLP,4,,f_classif,,,relu,"(100,)",,,
MLP,5,,f_classif,,,relu,"(100,)",,,
XGBoost,1,,f_classif,,,,,0.1,5.0,100.0
XGBoost,2,,f_classif,,,,,0.1,5.0,100.0
XGBoost,3,,f_classif,,,,,0.1,5.0,100.0
XGBoost,4,,f_classif,,,,,0.1,5.0,100.0
XGBoost,5,,f_classif,,,,,0.1,5.0,100.0
